date,value,satellite_flag
2024-01-16 15:00,0.0000,11000000000000000000000000000000
2024-01-16 16:00,0.0000,11000000000000000000000000000000
2024-01-16 17:00,0.0000,11000000000000000000000000000000
2024-01-16 18:00,0.0000,11000000000000000000000000000000
2024-01-16 19:00,0.0000,11000000000000000000000000000000
2024-01-16 20:00,0.0000,11000000000000000000000000000000
2024-01-16 21:00,0.0000,11000000000000000000000000000000
2024-01-16 22:00,0.0000,11000000000000000000000000000000
2024-01-16 23:00,0.0000,11000000000000000000000000000000
2024-01-17 00:00,0.0000,11000000000000000000000000000000
2024-01-17 01:00,0.0000,11000000000000000000000000000000
2024-01-17 02:00,0.0000,01000000000000100000000000000000
2024-01-17 03:00,0.0636,11000000000000000000000000000000
2024-01-17 04:00,0.7613,11000000000000000000000000000000
2024-01-17 05:00,4.6074,11000000000000000000000000000000
2024-01-17 06:00,4.1007,11000000000000000000000000000000
2024-01-17 07:00,1.9198,11000000000000000000000000000000
2024-01-17 08:00,0.0000,01000000000000000010000000000000
2024-01-17 09:00,0.0000,01000000000001000000000000000000
2024-01-17 10:00,0.0000,01000000000000000000000000100000
2024-01-17 11:00,0.0000,11000000000000000000000000000000
2024-01-17 12:00,0.0000,11000000000000000000000000000000
2024-01-17 13:00,1.8730,11000000000000000000000000000000
2024-01-17 14:00,1.8146,11000000000000000000000000000000
2024-01-17 15:00,1.7081,11000000000000000000000000000000
2024-01-17 16:00,0.7003,11000000000000000000000000000000
2024-01-17 17:00,0.7290,11000000000000000000000000000000
2024-01-17 18:00,0.3529,01000000000000010000000000000000
2024-01-17 19:00,0.9011,11000000000000000000000000000000
2024-01-17 20:00,0.0000,11000000000000000000000000000000
2024-01-17 21:00,0.0000,11000000000000000000000000000000
2024-01-17 22:00,1.7858,11000000000000000000000000000000
2024-01-17 23:00,1.9254,11000000000000000000000000000000
2024-01-18 00:00,2.3892,11000000000000000000000000000000
2024-01-18 01:00,1.0482,11000000000000000000000000000000
2024-01-18 02:00,3.0971,01000000000000100000000000000000
2024-01-18 03:00,2.6799,11000000000000000000000000000000
2024-01-18 04:00,3.2268,11000000000000000000000000000000
2024-01-18 05:00,2.5032,11000000000000000000000000000000
2024-01-18 06:00,1.0739,01000000000000010000000000000000
2024-01-18 07:00,1.5455,11000000000000000000000000000000
2024-01-18 08:00,0.0000,11000000000000000000000000000000
2024-01-18 09:00,0.0000,01000000000000000000000000100000
2024-01-18 10:00,0.7976,11000000000000000000000000000000
2024-01-18 11:00,1.7798,11000000000000000000000000000000
2024-01-18 12:00,3.0373,11000000000000000000000000000000
2024-01-18 13:00,2.0102,11000000000000000000000000000000
2024-01-18 14:00,3.1586,01000000000000100000000000000000
2024-01-18 15:00,0.7762,11000000000000000000000000000000
2024-01-18 16:00,0.9785,11000000000000000000000000000000
2024-01-18 17:00,0.5915,11000000000000000000000000000000
2024-01-18 18:00,4.9314,11000000000000000000000000000000
2024-01-18 19:00,4.1802,11000000000000000000000000000000
2024-01-18 20:00,3.0707,01000000000000000010000000000000
2024-01-18 21:00,2.6622,11000000000000000000000000000000
2024-01-18 22:00,0.0000,01000000000000000000000000100000
